Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;53;;;;36602;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;12;;;;10299;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;5;;;;2781;;;;;
01;Østfold;;;;;SAMF;Samfunnspartiet;0;;;;321;;;;;
01;Østfold;;;;;B;Bondepartiet;9;;;;10447;;;;;
01;Østfold;;;;;H;Høyre;9;;;;10447;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;49;;;;48002;;;;;
02;Akershus;;;;;H;Høyre;20;;;;20017;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;7212;;;;;
02;Akershus;;;;;V;Venstre;5;;;;4875;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;7;;;;7164;;;;;
02;Akershus;;;;;SAMF;Samfunnspartiet;0;;;;307;;;;;
02;Akershus;;;;;B;Bondepartiet;11;;;;11335;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;44;;;;119741;;;;;
03;Oslo;;;;;H;Høyre;36;;;;99179;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;14792;;;;;
03;Oslo;;;;;V;Venstre;7;;;;19017;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;8;;;;21535;;;;;
03;Oslo;;;;;SAMF;Samfunnspartiet;0;;;;827;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;2;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;59;;;;50638;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;11;;;;10089;;;;;
04;Hedmark;;;;;SAMF;Samfunnspartiet;1;;;;464;;;;;
04;Hedmark;;;;;B;Bondepartiet;13;;;;12209;;;;;
04;Hedmark;;;;;H;Høyre;8;;;;12208;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;2;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;52;;;;39620;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;6;;;;5410;;;;;
05;Oppland;;;;;V;Venstre;10;;;;7312;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;5;;;;4012;;;;;
05;Oppland;;;;;SAMF;Samfunnspartiet;0;;;;138;;;;;
05;Oppland;;;;;B;Bondepartiet;23;;;;19764;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;9;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;53;;;;34522;;;;;
06;Buskerud;;;;;H;Høyre;20;;;;10381;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;6;;;;3910;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;8;;;;5963;;;;;
06;Buskerud;;;;;SAMF;Samfunnspartiet;0;;;;85;;;;;
06;Buskerud;;;;;B;Bondepartiet;9;;;;11425;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;45;;;;26077;;;;;
07;Vestfold;;;;;H;Høyre;31;;;;17442;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;5;;;;4050;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;3;;;;1476;;;;;
07;Vestfold;;;;;SAMF;Samfunnspartiet;0;;;;189;;;;;
07;Vestfold;;;;;V;Venstre;7;;;;10983;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;48;;;;26479;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;10;;;;5542;;;;;
08;Telemark;;;;;V;Venstre;20;;;;11030;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;8;;;;3630;;;;;
08;Telemark;;;;;SAMF;Samfunnspartiet;0;;;;164;;;;;
08;Telemark;;;;;B;Bondepartiet;5;;;;7291;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;42;;;;13371;;;;;
09;Aust-Agder;;;;;H;Høyre;16;;;;3967;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;9;;;;2649;;;;;
09;Aust-Agder;;;;;V;Venstre;21;;;;7028;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;1;;;;394;;;;;
09;Aust-Agder;;;;;B;Bondepartiet;10;;;;4008;;;;;
09;Aust-Agder;;;;;ANDRE;Andre;0;;;;1;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;33;;;;9488;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;8;;;;4245;;;;;
10;Vest-Agder;;;;;V;Venstre;31;;;;9600;;;;;
