Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
03;Oslo;;;;;A;Arbeiderpartiet;25,66091;518708;70553;37715;108268;2,69831;;5;0;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;10,70848;518708;30164;15017;45181;-2,56514;;2;0;
03;Oslo;;;;;RØDT;Rødt;7,1521;518708;20849;9327;30176;-1,10788;;2;1;
03;Oslo;;;;;SP;Senterpartiet;0,75038;518708;1972;1194;3166;-2,39875;;0;0;
03;Oslo;;;;;KRF;Kristelig Folkeparti;2,11415;518708;6040;2880;8920;0,29049;;0;0;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;10,26882;518708;28958;14368;43326;1,78595;;2;0;
03;Oslo;;;;;V;Venstre;7,26279;518708;19487;11156;30643;-2,78609;;2;0;
03;Oslo;;;;;H;Høyre;18,4972;518708;53544;24499;78043;-5,0408;;4;0;
03;Oslo;;;;;FRP;Fremskrittspartiet;14,32316;518708;46159;14273;60432;8,3205;;3;0;
03;Oslo;;;;;DEMN;Norgesdemokratene;0,43326;518708;1058;770;1828;-0,24778;;0;0;
03;Oslo;;;;;DNI;Partiet DNI;0,04788;518708;141;61;202;0,04788;;0;0;
03;Oslo;;;;;ENSOM;Ensomhetspartiet;0,16875;518708;425;287;712;0,16875;;0;0;
03;Oslo;;;;;FRED;Fred og Rettferdighet (FOR);0,48896;518708;1350;713;2063;0,48896;;0;0;
03;Oslo;;;;;GENP;Generasjonspartiet;0,4079;518708;1152;569;1721;0,4079;;0;0;
03;Oslo;;;;;HELSE;Velferd og Innovasjonspartiet;0,11519;518708;299;187;486;-0,04104;;0;0;
03;Oslo;;;;;INP;Industri- og Næringspartiet;0,19008;518708;483;319;802;0,12843;;0;0;
03;Oslo;;;;;KRISTNE;Konservativt;0,16686;518708;465;239;704;0,04198;;0;0;
03;Oslo;;;;;PP;Pensjonistpartiet;0,37661;518708;1103;486;1589;0,03095;;0;0;
03;Oslo;;;;;PS;Partiet Sentrum;0,30693;518708;730;565;1295;-0,05322;;0;0;
03;Oslo;;;;;RUS;Redd Ullevål sykehus;0,55959;518708;1467;894;2361;0,55959;;0;0;
04;Hedmark;;;;;A;Arbeiderpartiet;34,96826;155153;25274;16540;41814;1,84426;;3;0;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;4,47996;155153;3342;2015;5357;-2,38353;;0;0;
04;Hedmark;;;;;RØDT;Rødt;4,776;155153;3470;2241;5711;1,4094;;0;0;
04;Hedmark;;;;;SP;Senterpartiet;13,62971;155153;7952;8346;16298;-14,41313;;1;0;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;2,18019;155153;1406;1201;2607;0,55074;;0;0;
04;Hedmark;;;;;MDG;Miljøpartiet De Grønne;2,84921;155153;2142;1265;3407;0,78026;;0;0;
04;Hedmark;;;;;V;Venstre;1,9201;155153;1358;938;2296;-0,37468;;0;0;
04;Hedmark;;;;;H;Høyre;8,99504;155153;6416;4340;10756;-1,59377;;1;1;
04;Hedmark;;;;;FRP;Fremskrittspartiet;21,0768;155153;14962;10241;25203;12,65508;;2;0;
04;Hedmark;;;;;DEMN;Norgesdemokratene;1,07128;155153;596;685;1281;-0,10564;;0;0;
04;Hedmark;;;;;DNI;Partiet DNI;0,14217;155153;115;55;170;0,14217;;0;0;
04;Hedmark;;;;;FRED;Fred og Rettferdighet (FOR);0,22161;155153;144;121;265;0,22161;;0;0;
04;Hedmark;;;;;GENP;Generasjonspartiet;0,60798;155153;396;331;727;0,60798;;0;0;
04;Hedmark;;;;;HELSE;Velferd og Innovasjonspartiet;0,15722;155153;96;92;188;-0,09727;;0;0;
04;Hedmark;;;;;INP;Industri- og Næringspartiet;0,61801;155153;393;346;739;0,46862;;0;0;
04;Hedmark;;;;;KRISTNE;Konservativt;0,27514;155153;195;134;329;0,08492;;0;0;
04;Hedmark;;;;;PP;Pensjonistpartiet;1,91676;155153;1500;792;2292;0,62953;;0;0;
04;Hedmark;;;;;PS;Partiet Sentrum;0,11457;155153;71;66;137;-0,06783;;0;0;
