Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;54;;;;58120;;;;;
01;Østfold;;;;;H;Høyre;17;;;;18229;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;13;;;;13476;;;;;
01;Østfold;;;;;V;Venstre;4;;;;3810;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;4;;;;4465;;;;;
01;Østfold;;;;;B;Bondepartiet;9;;;;9139;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;49;;;;52243;;;;;
02;Akershus;;;;;H;Høyre;21;;;;22207;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;7892;;;;;
02;Akershus;;;;;V;Venstre;6;;;;6155;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;6;;;;5988;;;;;
02;Akershus;;;;;B;Bondepartiet;11;;;;11755;;;;;
02;Akershus;;;;;ANDRE;Andre;0;;;;4;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;43;;;;119784;;;;;
03;Oslo;;;;;H;Høyre;38;;;;105817;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;6;;;;16961;;;;;
03;Oslo;;;;;V;Venstre;7;;;;18195;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;6;;;;17639;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;11;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;60;;;;57065;;;;;
04;Hedmark;;;;;H;Høyre;11;;;;10365;;;;;
04;Hedmark;;;;;V;Venstre;3;;;;3311;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;10;;;;9977;;;;;
04;Hedmark;;;;;B;Bondepartiet;16;;;;15084;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;4;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;54;;;;46206;;;;;
05;Oppland;;;;;H;Høyre;8;;;;7063;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;7;;;;5597;;;;;
05;Oppland;;;;;V;Venstre;6;;;;5105;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;4;;;;3751;;;;;
05;Oppland;;;;;B;Bondepartiet;21;;;;17594;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;54;;;;49564;;;;;
06;Buskerud;;;;;H;Høyre;20;;;;18227;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;6;;;;5551;;;;;
06;Buskerud;;;;;V;Venstre;2;;;;2187;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;7;;;;6548;;;;;
